[2026-02-12 18:36:32] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942992576","Packet ID:":"16","PM1.0:":"46","PM2.5:":"534","PM10:":"534","CO2:":"451","CO:":"5","Temperature:":"10.06","Humidity:":"45.74","Airpressure:":"1013.20","Altitude:":"0.42"}
[2026-02-12 18:36:35] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942994789","Packet ID:":"17","PM1.0:":"46","PM2.5:":"534","PM10:":"534","CO2:":"452","CO:":"5","Temperature:":"10.06","Humidity:":"45.79","Airpressure:":"1013.19","Altitude:":"0.46"}
[2026-02-12 18:36:37] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942997200","Packet ID:":"18","PM1.0:":"48","PM2.5:":"540","PM10:":"540","CO2:":"452","CO:":"5","Temperature:":"10.03","Humidity:":"45.77","Airpressure:":"1013.17","Altitude:":"0.67"}
[2026-02-12 18:36:39] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942999224","Packet ID:":"19","PM1.0:":"48","PM2.5:":"546","PM10:":"546","CO2:":"453","CO:":"5","Temperature:":"10.01","Humidity:":"45.76","Airpressure:":"1013.16","Altitude:":"0.72"}
[2026-02-12 18:36:41] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943001474","Packet ID:":"20","PM1.0:":"48","PM2.5:":"540","PM10:":"541","CO2:":"453","CO:":"5","Temperature:":"10.00","Humidity:":"45.72","Airpressure:":"1013.17","Altitude:":"0.64"}
[2026-02-12 18:36:44] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943003927","Packet ID:":"21","PM1.0:":"48","PM2.5:":"540","PM10:":"541","CO2:":"453","CO:":"5","Temperature:":"9.98","Humidity:":"45.68","Airpressure:":"1013.15","Altitude:":"0.82"}
[2026-02-12 18:36:46] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943005915","Packet ID:":"22","PM1.0:":"48","PM2.5:":"535","PM10:":"537","CO2:":"453","CO:":"5","Temperature:":"9.97","Humidity:":"45.66","Airpressure:":"1013.17","Altitude:":"0.69"}
[2026-02-12 18:36:48] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943008114","Packet ID:":"23","PM1.0:":"46","PM2.5:":"531","PM10:":"534","CO2:":"453","CO:":"5","Temperature:":"9.96","Humidity:":"45.67","Airpressure:":"1013.17","Altitude:":"0.65"}
[2026-02-12 18:36:50] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943010639","Packet ID:":"24","PM1.0:":"46","PM2.5:":"528","PM10:":"531","CO2:":"453","CO:":"5","Temperature:":"9.93","Humidity:":"45.68","Airpressure:":"1013.18","Altitude:":"0.60"}
[2026-02-12 18:36:52] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943012557","Packet ID:":"25","PM1.0:":"46","PM2.5:":"516","PM10:":"519","CO2:":"453","CO:":"5","Temperature:":"9.92","Humidity:":"45.70","Airpressure:":"1013.19","Altitude:":"0.47"}
[2026-02-12 18:36:55] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943014762","Packet ID:":"26","PM1.0:":"46","PM2.5:":"516","PM10:":"519","CO2:":"453","CO:":"5","Temperature:":"9.90","Humidity:":"45.76","Airpressure:":"1013.18","Altitude:":"0.60"}
[2026-02-12 18:36:58] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943017368","Packet ID:":"27","PM1.0:":"49","PM2.5:":"531","PM10:":"534","CO2:":"454","CO:":"5","Temperature:":"9.88","Humidity:":"45.82","Airpressure:":"1013.14","Altitude:":"0.90"}
[2026-02-12 18:36:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943019191","Packet ID:":"28","PM1.0:":"52","PM2.5:":"549","PM10:":"552","CO2:":"454","CO:":"5","Temperature:":"9.86","Humidity:":"45.85","Airpressure:":"1013.17","Altitude:":"0.67"}
[2026-02-12 18:37:01] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943021415","Packet ID:":"29","PM1.0:":"58","PM2.5:":"580","PM10:":"582","CO2:":"454","CO:":"5","Temperature:":"9.85","Humidity:":"45.89","Airpressure:":"1013.13","Altitude:":"1.04"}
[2026-02-12 18:37:04] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943024080","Packet ID:":"30","PM1.0:":"66","PM2.5:":"681","PM10:":"682","CO2:":"454","CO:":"5","Temperature:":"9.85","Humidity:":"45.95","Airpressure:":"1013.17","Altitude:":"0.65"}
[2026-02-12 18:37:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943025849","Packet ID:":"31","PM1.0:":"106","PM2.5:":"1971","PM10:":"1971","CO2:":"454","CO:":"5","Temperature:":"9.84","Humidity:":"46.03","Airpressure:":"1013.16","Altitude:":"0.76"}
[2026-02-12 18:37:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943028059","Packet ID:":"32","PM1.0:":"108","PM2.5:":"2196","PM10:":"2197","CO2:":"454","CO:":"5","Temperature:":"9.84","Humidity:":"46.10","Airpressure:":"1013.16","Altitude:":"0.72"}
[2026-02-12 18:37:10] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943030322","Packet ID:":"33","PM1.0:":"108","PM2.5:":"2406","PM10:":"2407","CO2:":"454","CO:":"5","Temperature:":"9.83","Humidity:":"46.12","Airpressure:":"1013.19","Altitude:":"0.47"}
[2026-02-12 18:37:12] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770943032542","Packet ID:":"34","PM1.0:":"102","PM2.5:":"2799","PM10:":"2799","CO2:":"454","CO:":"5","Temperature:":"9.82","Humidity:":"46.16","Airpressure:":"1013.20","Altitude:":"0.44"}
